group,name,log2FC,FDR
EOAD,NRCAM,-0.142261013720205,0.304599359443253
EOAD,PLXDC2,0.115824552273061,0.47337503150751
EOAD,CACNA2D1,-0.20518734390264,0.244309825422506
EOAD,TAGLN,0.130628763233616,0.457855544186857
EOAD,PRNP,-0.138105054583246,0.333020173631092
EOAD,C1RL,0.284960743692441,0.110280378255723
EOAD,SERPINA7,0.384253441696755,0.223890188401601
EOAD,C1QTNF3,-0.18782726718372,0.609183723401606
EOAD,CNTN2,-0.0023546329940913,0.984135985475772
EOAD,SERPINA1,0.252440416305738,0.4883307028858
EOAD,F5,-0.220520001474817,0.287796122573842
EOAD,SLC5A5,0.0298220758441055,0.931765427879975
EOAD,NCAM1,-0.0623178227964392,0.41798788651348
EOAD,AJAP1,0.107803898887393,0.819866269606406
EOAD,PTPRS,-0.0999406102508154,0.372560211151682
EOAD,RARRES2,0.0197858577704313,0.800827523864145
EOAD,LAMC1,0.0910662958112258,0.203793910442445
EOAD,APOA2,0.352599801501738,0.359982308334619
EOAD,A1BG,0.443061271708642,0.217196409003323
EOAD,MASP1,0.0202834632888171,0.927503271960652
EOAD,OAF,-0.0084200345975951,0.947671476365712
EOAD,DPP6,-0.0585220478168855,0.731985489695646
EOAD,NID2,0.0671130606967374,0.451933959119917
EOAD,CPVL,-0.168503179648416,0.260429528194937
EOAD,SERPINC1,0.431937416425606,0.23096129914898
EOAD,CHL1,-0.164898930788086,0.21807486145177
EOAD,CELSR2,-0.2827875312141,0.23096129914898
EOAD,FGB,0.174041253450307,0.679260328254434
EOAD,BTD,0.0388783473603755,0.633001456785369
EOAD,PI16,0.0619318560883411,0.557262926250101
EOAD,CPQ,-0.0627118217058928,0.712690799762248
EOAD,GFRA2,-0.228396118112578,0.324685781435141
EOAD,SHISA5,0.0890102134976587,0.244888354116801
EOAD,PGK1,0.516882691451413,0.131801654048377
EOAD,SPP1,0.237144178507117,0.285498544130573
EOAD,VCAN,0.0272824842458945,0.791160155897835
EOAD,ITM2B,-0.11370263890716,0.455391256277635
EOAD,PCDH8,-0.201029756254747,0.269080858114767
EOAD,ENO2,0.118212192204586,0.590415333594492
EOAD,CTSA,-0.230436292502312,0.279948087006046
EOAD,SEZ6L,-0.226444518878053,0.128043108382428
EOAD,POMGNT1,-0.112046635561267,0.368082418651957
EOAD,CTSF,-0.067867368940659,0.653490665191091
EOAD,AZGP1,0.47757863599622,0.121498946574774
EOAD,ECRG4,0.211828251625358,0.426283493009268
EOAD,SELENOP,0.0624851981832757,0.631837497615648
EOAD,SIAE,-0.065737946463555,0.793858154022257
EOAD,GSN,0.0066585356153936,0.976507727155607
EOAD,RNASE4,0.0875074293568119,0.476993850040552
EOAD,C2,0.189930903983827,0.391839671204357
EOAD,RNASE1,-0.0514326520769544,0.635627197169916
EOAD,CDH13,-0.0801359973792017,0.559534533532764
EOAD,A2M,0.0166352510135752,0.926908722441131
EOAD,PODXL2,-0.0371468509794468,0.787965773357098
EOAD,COL1A2,0.0601100973344622,0.435945505235735
EOAD,GOT1,0.154526231295243,0.204657731188026
EOAD,SCG3,-0.19788157413285,0.287796122573842
EOAD,PEBP1,0.23785934365881,0.0365963222892319
EOAD,MAN1B1,-0.0752977307392291,0.65134966111245
EOAD,RELN,-0.228241327981639,0.206799083451755
EOAD,PPIC,-0.016106112580407,0.919176827789441
EOAD,CDH6,-0.154156714695475,0.110280378255723
EOAD,SEZ6,-0.0684893303325733,0.587482141112427
EOAD,GOLM1,-0.0193266959574157,0.783364237849892
EOAD,APP,-0.136743530515121,0.373662956649642
EOAD,ACTB,0.369633739512067,0.217196409003323
EOAD,LDHB,0.11069298866923,0.28216253622101
EOAD,EFEMP1,-0.0218376184870266,0.62268428691666
EOAD,PLD3,-0.0334983060272425,0.888574966876878
EOAD,C8B,0.301442844908463,0.519396493550399
